State,Stateabbr,Metro,MetroSize,Numberinhousehold,Poverty,Disability,Lunch,FoodStamps,IncomeScale,Unemployment,Welfare,WIC,SocialSec,SupSocialSec,TotalIncome,Minor,Vet
1,AL,0,0,1,1,0,0,0,5,0,0,0,0,0,11001,0,0
1,AL,0,0,1,0,0,0,0,25,0,0,0,0,0,60000,0,0
1,AL,0,0,1,1,0,0,1,1,0,0,0,0,1,1800,0,0
1,AL,0,0,1,0,0,0,0,8,0,0,0,1,0,19683,0,0
1,AL,0,0,1,0,0,0,0,12,0,0,0,1,0,29948,0,0
1,AL,0,0,1,0,0,0,0,10,0,0,0,1,0,22801,0,1
1,AL,0,0,1,0,0,0,0,24,0,0,0,0,0,58000,0,0
1,AL,0,0,1,0,0,0,0,9,0,0,0,1,0,21000,0,0
1,AL,0,0,1,0,0,0,0,11,0,0,0,1,0,26112,0,0
1,AL,0,0,1,0,0,0,0,8,0,0,0,0,0,18000,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1,AL,0,0,1,0,0,0,0,17,0,0,0,0,0,42000,0,0
1,AL,0,0,1,0,0,0,0,28,1,0,0,0,0,69505,0,0
1,AL,0,0,1,0,0,0,0,26,0,0,0,0,0,63001,0,0
1,AL,0,0,1,0,0,0,0,31,0,0,0,0,0,75000,0,0
1,AL,0,0,1,0,0,0,0,34,0,0,0,1,0,83608,0,0
1,AL,0,0,1,0,0,0,0,17,0,0,0,0,0,42000,0,0
1,AL,0,0,1,0,0,0,0,23,0,0,0,1,0,55760,0,0
1,AL,0,0,1,0,0,0,0,15,0,0,0,1,0,35088,0,0
1,AL,0,0,1,0,0,0,0,24,0,0,0,0,0,58030,0,0
1,AL,0,0,1,0,0,0,0,29,0,0,0,1,0,72210,0,0
1,AL,0,0,1,0,0,0,0,8,0,0,0,1,0,18079,0,0
1,AL,0,0,1,0,0,0,0,7,0,0,0,0,0,15000,0,0
1,AL,0,0,1,0,0,0,0,31,0,0,0,0,0,75000,0,0
1,AL,0,0,1,1,0,0,0,4,0,0,0,1,0,8000,0,0
1,AL,0,0,1,1,0,0,0,4,0,0,0,0,1,9300,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1,AL,0,0,1,1,0,0,0,2,0,0,0,1,0,4135,0,0
1,AL,0,0,1,0,0,0,0,15,0,0,0,0,0,36000,0,0
1,AL,0,0,1,1,0,0,0,5,0,0,0,0,0,10000,0,0
1,AL,0,0,1,0,0,0,0,7,0,0,0,1,0,16872,0,0
1,AL,0,0,1,0,0,0,0,7,0,0,0,1,0,15076,0,0
1,AL,0,0,1,1,0,0,1,4,0,0,0,1,0,8940,0,0
1,AL,0,0,1,0,0,0,0,14,0,0,0,1,0,34315,0,0
